desig,name,number,survey,a,e,i,node,argper,period,ra,dec,vmag,absmag,absmagsig,slopepar,heldist,obsdist,alpha,elong,glxlon,glxlat,ra3sig,dec3sig,midtime,midtimejd,aorkey,framet,totalt,elapsed,notes,ch1,ch1err,ch1snr,ch2,ch2err,ch2snr,diam,d1sigl,d1sigu,d3sigl,d3sigu,pv,pv1sigl,pv1sigu,pv3sigl,pv3sigu,eta,eta1sigl,eta1sigu,eta3sigl,eta3sigu,reflsol
2003 HG2,,434196,NEOLegacy,1.0622,0.13458,19.78,214.2615,225.3557,1.09479,133.77516,-74.17219,20.42,21.9,0.3,0.15,1.064,0.209,67.9,101.0,288.669595,-18.298614,0.96,0.82,2018-07-09T18:34:18.976,2458309.2738307407,61812480,100.0,6000.0,6297.2,,,,,75.3,8.1,9.3,0.106,-0.02,0.04,-0.039,0.152,0.271,-0.133,0.166,-0.233,0.516,1.52,-0.3,0.52,-0.55,1.59,0.0
2003 UD22,,323300,NEOLegacy,1.1687,0.31837,10.08,253.8161,23.5162,1.26347,224.05739,-85.16363,18.38,19.89,0.22,0.15,1.038,0.16699999999999998,74.0,96.8,305.656072,-22.964914999999998,2.2,0.62,2018-07-18T12:00:51.822,2458318.0005997918,61818880,12.0,120.0,1154.3,,,,,384.6,18.1,21.2,0.21600000000000003,-0.035,0.071,-0.067,0.254,0.418,-0.18600000000000003,0.193,-0.342,0.5379999999999999,1.57,-0.29,0.52,-0.52,1.53,0.01
2005 JF21,,348400,NEOLegacy,2.2262,0.53522,10.85,132.2075,206.0748,3.3216300000000003,254.86489,-7.918819999999999,21.04,17.68,0.22,0.15,2.017,1.545,29.1,102.5,11.994552,20.543346,0.05,0.04,2018-07-10T08:10:07.432,2458309.8403637963,61899008,100.0,8000.0,6621.1,,,,,6.5,2.4,2.7,0.62,-0.171,0.409,-0.322,2.499,0.387,-0.25,0.375,-0.373,1.179,1.14,-0.31,0.54,-0.53,1.94,0.14
2006 FK,,,NEOLegacy,0.9225,0.34337,14.61,15.1713,3.2072,0.88602,97.89645,50.850120000000004,21.6,21.5,0.3,0.15,1.111,0.381,63.9,96.2,164.264324,17.760099,0.73,0.41,2018-07-10T22:16:42.623,2458310.4282710995,61952256,100.0,8000.0,8599.8,,,,,30.9,5.2,5.9,0.128,-0.026000000000000002,0.05,-0.053,0.209,0.26899999999999996,-0.136,0.17800000000000002,-0.235,0.562,1.48,-0.3,0.53,-0.55,1.62,0.01
2007 DY40,,,NEOLegacy,1.7182,0.59267,5.89,160.2409,114.9546,2.2523,256.07159,10.58395,19.07,21.4,0.3,0.15,1.051,0.128,65.6,107.7,30.414571000000002,28.554329,3.74,2.3,2018-07-18T06:39:38.653,2458317.777530706,61977344,30.0,480.0,1158.6,,,,,290.6,16.0,18.2,0.122,-0.022000000000000002,0.046,-0.043,0.163,0.32799999999999996,-0.162,0.19,-0.282,0.598,1.49,-0.29,0.54,-0.54,1.62,0.01
2007 FH1,,,NEOLegacy,1.7285,0.38679,22.77,0.684,228.7771,2.27248,122.08368999999999,40.71767,21.26,20.59,0.29,0.15,1.287,0.532,47.2,109.9,179.817936,31.305359000000003,1.9,0.86,2018-07-16T12:34:44.562,2458316.024126875,62012160,100.0,8000.0,8388.3,,,,,9.6,2.9,3.3,0.12300000000000001,-0.024,0.046,-0.053,0.223,0.6859999999999999,-0.337,0.389,-0.616,1.1079999999999999,1.31,-0.31,0.55,-0.55,1.77,0.05
2007 JF22,,475967,NEOLegacy,3.0738,0.58616,25.36,47.7443,125.4747,5.3891599999999995,287.97605,-33.98525,20.03,16.63,0.22,0.15,1.844,1.675,32.7,82.9,3.6164379999999996,-18.704010999999998,0.15,0.08,2018-07-20T13:19:31.598,2458320.055226829,61969664,100.0,8000.0,8716.6,,,,,778.7,25.7,30.3,5.416,-1.778,4.203,-3.0189999999999997,19.964000000000002,0.013000000000000001,-0.009000000000000001,0.017,-0.013000000000000001,0.066,1.17,-0.3,0.54,-0.54,1.9,0.0
2008 XO2,,403247,NEOLegacy,1.6863,0.31736,9.47,39.084,197.0371,2.1897,254.85226,-13.08953,19.83,19.61,0.22,0.15,1.203,0.449,53.6,105.3,7.434858,17.683953,0.44,0.24,2018-07-13T08:52:59.946,2458312.8701382643,62014208,100.0,2400.0,2441.5,,,,,165.7,11.9,13.9,0.33899999999999997,-0.07200000000000001,0.155,-0.132,0.613,0.218,-0.11699999999999999,0.147,-0.195,0.435,1.37,-0.29,0.54,-0.54,1.73,0.0
2012 FR1,,,NEOLegacy,2.1765,0.71196,13.3,355.4788,86.2252,3.21089,107.00595,35.97797,17.49,19.32,0.22,0.15,1.055,0.153,66.7,105.3,181.35128899999998,18.662157999999998,25.37,4.35,2018-07-10T20:46:16.106,2458310.36546419,61801472,12.0,120.0,1180.5,,,,,5249.9,68.2,77.0,0.579,-0.121,0.24,-0.215,0.86,0.098,-0.05,0.064,-0.085,0.205,1.5,-0.29,0.52,-0.54,1.61,0.0
2013 GW68,,,NEOLegacy,1.0376,0.33563000000000004,14.17,190.4819,240.5575,1.057,252.31578,-14.81795,21.64,22.1,0.3,0.15,1.141,0.315,56.9,107.8,4.454889,18.69906,12.76,1.56,2018-07-13T14:11:12.315,2458313.0911147567,61787904,100.0,8000.0,,,,,,4.3,2.0,2.1,0.051,-0.009000000000000001,0.015,-0.019,0.069,1.02,-0.423,0.428,-0.858,1.141,1.41,-0.3,0.55,-0.53,1.69,0.11
